id,timestamp,sessionId,type,value
4561,2024-11-18T12:15:26.060Z,"1731932124378-2311","gaze-init",""
4562,2024-11-18T12:15:28.456Z,"1731932124378-2311","gaze-connect",""
4563,2024-11-18T12:15:28.589Z,"1731932124378-2311","gaze-start",""
4564,2024-11-18T12:15:33.727Z,"1731932124378-2311","gaze-validation","{""accuracy"":90.74493114523568,""precision"":40.19471500214112,""gazePointCount"":147}"
4565,2024-11-18T12:15:36.996Z,"1731932124378-2311","gaze-validation","{""accuracy"":131.1422530673892,""precision"":14.232021917627275,""gazePointCount"":151}"
4566,2024-11-18T12:15:39.999Z,"1731932124378-2311","gaze-validation","{""accuracy"":114.1942994682887,""precision"":20.48472879939989,""gazePointCount"":151}"
4567,2024-11-18T12:15:43.303Z,"1731932124378-2311","gaze-validation","{""accuracy"":103.67607413408778,""precision"":55.15426680542461,""gazePointCount"":148}"
4568,2024-11-18T12:15:46.471Z,"1731932124378-2311","gaze-validation","{""accuracy"":108.46791334376955,""precision"":23.9581735319845,""gazePointCount"":149}"
4569,2024-11-18T12:15:51.998Z,"1731932124378-2311","questionnaire-start",""
4570,2024-11-18T12:15:58.601Z,"1731932124378-2311","questionnaire-1","true"
4571,2024-11-18T12:16:03.819Z,"1731932124378-2311","questionnaire-linking","1022"
4572,2024-11-18T12:16:20.284Z,"1731932124378-2311","questionnaire-2","true"
4573,2024-11-18T12:16:32.349Z,"1731932124378-2311","questionnaire-4","true"
4574,2024-11-18T12:16:32.350Z,"1731932124378-2311","questionnaire-end",""
4575,2024-11-18T12:16:32.353Z,"1731932124378-2311","L1_init","p_00a_f;p_00b_m;p_00c_f;p_00d_m"
4576,2024-11-18T12:16:32.353Z,"1731932124378-2311","L1_start","p_00a_f"
4577,2024-11-18T12:16:32.498Z,"1731932124378-2311","L1_load","p_00a_f"
4578,2024-11-18T12:16:35.520Z,"1731932124378-2311","L1_show_likert","p_00a_f"
4579,2024-11-18T12:16:43.496Z,"1731932124378-2311","L1_response","p_00a_f; 5; 7977"
4580,2024-11-18T12:16:43.496Z,"1731932124378-2311","L1_start","p_00b_m"
4581,2024-11-18T12:16:43.629Z,"1731932124378-2311","L1_load","p_00b_m"
4582,2024-11-18T12:16:43.629Z,"1731932124378-2311","L1_show_likert","p_00b_m"
4583,2024-11-18T12:16:54.417Z,"1731932124378-2311","L1_response","p_00b_m; 5; 10788"
4584,2024-11-18T12:16:54.418Z,"1731932124378-2311","L1_start","p_00c_f"
4585,2024-11-18T12:16:54.559Z,"1731932124378-2311","L1_load","p_00c_f"
4586,2024-11-18T12:16:54.559Z,"1731932124378-2311","L1_show_likert","p_00c_f"
4587,2024-11-18T12:16:59.130Z,"1731932124378-2311","L1_response","p_00c_f; 4; 4571"
4588,2024-11-18T12:16:59.130Z,"1731932124378-2311","L1_start","p_00d_m"
4589,2024-11-18T12:16:59.395Z,"1731932124378-2311","L1_load","p_00d_m"
4590,2024-11-18T12:16:59.395Z,"1731932124378-2311","L1_show_likert","p_00d_m"
4591,2024-11-18T12:17:06.443Z,"1731932124378-2311","L1_response","p_00d_m; 3; 7048"
4592,2024-11-18T12:17:06.453Z,"1731932124378-2311","questionnaire-start",""
4593,2024-11-18T12:17:14.187Z,"1731932124378-2311","questionnaire-l1-intermezzo-1","true"
4594,2024-11-18T12:17:14.188Z,"1731932124378-2311","questionnaire-end",""
4595,2024-11-18T12:17:14.191Z,"1731932124378-2311","L1_init","t_30_f;t_25_m;t_03_m;t_07_m;t_24_f;t_19_m;t_13_m;t_18_f;t_29_m;t_15_m;t_28_f;t_14_f;t_23_m;t_02_f;t_01_m;t_09_m;t_26_f;t_05_m;t_10_f;t_11_m;t_08_f;t_27_m;t_16_f;t_22_f;t_31_m;t_06_f;t_20_f;t_32_f;t_12_f;t_04_f;t_17_m;t_21_m"
4596,2024-11-18T12:17:14.191Z,"1731932124378-2311","L1_start","t_30_f"
4597,2024-11-18T12:17:14.321Z,"1731932124378-2311","L1_load","t_30_f"
4598,2024-11-18T12:17:17.330Z,"1731932124378-2311","L1_show_likert","t_30_f"
4599,2024-11-18T12:17:23.261Z,"1731932124378-2311","L1_response","t_30_f; 3; 5931"
4600,2024-11-18T12:17:23.262Z,"1731932124378-2311","L1_start","t_25_m"
4601,2024-11-18T12:17:23.476Z,"1731932124378-2311","L1_load","t_25_m"
4602,2024-11-18T12:17:23.476Z,"1731932124378-2311","L1_show_likert","t_25_m"
4603,2024-11-18T12:17:30.174Z,"1731932124378-2311","L1_response","t_25_m; 3; 6698"
4604,2024-11-18T12:17:30.175Z,"1731932124378-2311","L1_start","t_03_m"
4605,2024-11-18T12:17:30.329Z,"1731932124378-2311","L1_load","t_03_m"
4606,2024-11-18T12:17:30.330Z,"1731932124378-2311","L1_show_likert","t_03_m"
4607,2024-11-18T12:17:34.734Z,"1731932124378-2311","L1_response","t_03_m; 6; 4404"
4608,2024-11-18T12:17:34.735Z,"1731932124378-2311","L1_start","t_07_m"
4609,2024-11-18T12:17:34.902Z,"1731932124378-2311","L1_load","t_07_m"
4610,2024-11-18T12:17:34.902Z,"1731932124378-2311","L1_show_likert","t_07_m"
4611,2024-11-18T12:17:40.223Z,"1731932124378-2311","L1_response","t_07_m; 4; 5321"
4612,2024-11-18T12:17:40.224Z,"1731932124378-2311","L1_start","t_24_f"
4613,2024-11-18T12:17:40.363Z,"1731932124378-2311","L1_load","t_24_f"
4614,2024-11-18T12:17:40.364Z,"1731932124378-2311","L1_show_likert","t_24_f"
4615,2024-11-18T12:17:44.480Z,"1731932124378-2311","L1_response","t_24_f; 5; 4117"
4616,2024-11-18T12:17:44.481Z,"1731932124378-2311","L1_start","t_19_m"
4617,2024-11-18T12:17:44.623Z,"1731932124378-2311","L1_load","t_19_m"
4618,2024-11-18T12:17:44.623Z,"1731932124378-2311","L1_show_likert","t_19_m"
4619,2024-11-18T12:17:51.569Z,"1731932124378-2311","L1_response","t_19_m; 3; 6946"
4620,2024-11-18T12:17:51.570Z,"1731932124378-2311","L1_start","t_13_m"
4621,2024-11-18T12:17:51.712Z,"1731932124378-2311","L1_load","t_13_m"
4622,2024-11-18T12:17:51.712Z,"1731932124378-2311","L1_show_likert","t_13_m"
4623,2024-11-18T12:18:00.258Z,"1731932124378-2311","L1_response","t_13_m; 4; 8546"
4624,2024-11-18T12:18:00.259Z,"1731932124378-2311","L1_start","t_18_f"
4625,2024-11-18T12:18:00.381Z,"1731932124378-2311","L1_load","t_18_f"
4626,2024-11-18T12:18:00.381Z,"1731932124378-2311","L1_show_likert","t_18_f"
4627,2024-11-18T12:18:05.587Z,"1731932124378-2311","L1_response","t_18_f; 5; 5206"
4628,2024-11-18T12:18:05.588Z,"1731932124378-2311","L1_start","t_29_m"
4629,2024-11-18T12:18:05.720Z,"1731932124378-2311","L1_load","t_29_m"
4630,2024-11-18T12:18:05.721Z,"1731932124378-2311","L1_show_likert","t_29_m"
4631,2024-11-18T12:18:10.676Z,"1731932124378-2311","L1_response","t_29_m; 2; 4955"
4632,2024-11-18T12:18:10.677Z,"1731932124378-2311","L1_start","t_15_m"
4633,2024-11-18T12:18:10.809Z,"1731932124378-2311","L1_load","t_15_m"
4634,2024-11-18T12:18:10.810Z,"1731932124378-2311","L1_show_likert","t_15_m"
4635,2024-11-18T12:18:15.197Z,"1731932124378-2311","L1_response","t_15_m; 1; 4387"
4636,2024-11-18T12:18:15.197Z,"1731932124378-2311","L1_start","t_28_f"
4637,2024-11-18T12:18:15.328Z,"1731932124378-2311","L1_load","t_28_f"
4638,2024-11-18T12:18:15.329Z,"1731932124378-2311","L1_show_likert","t_28_f"
4639,2024-11-18T12:18:22.446Z,"1731932124378-2311","L1_response","t_28_f; 4; 7117"
4640,2024-11-18T12:18:22.446Z,"1731932124378-2311","L1_start","t_14_f"
4641,2024-11-18T12:18:22.574Z,"1731932124378-2311","L1_load","t_14_f"
4642,2024-11-18T12:18:22.574Z,"1731932124378-2311","L1_show_likert","t_14_f"
4643,2024-11-18T12:18:27.270Z,"1731932124378-2311","L1_response","t_14_f; 2; 4696"
4644,2024-11-18T12:18:27.271Z,"1731932124378-2311","L1_start","t_23_m"
4645,2024-11-18T12:18:27.413Z,"1731932124378-2311","L1_load","t_23_m"
4646,2024-11-18T12:18:27.414Z,"1731932124378-2311","L1_show_likert","t_23_m"
4647,2024-11-18T12:18:34.023Z,"1731932124378-2311","L1_response","t_23_m; 4; 6609"
4648,2024-11-18T12:18:34.024Z,"1731932124378-2311","L1_start","t_02_f"
4649,2024-11-18T12:18:34.172Z,"1731932124378-2311","L1_load","t_02_f"
4650,2024-11-18T12:18:34.172Z,"1731932124378-2311","L1_show_likert","t_02_f"
4651,2024-11-18T12:18:38.840Z,"1731932124378-2311","L1_response","t_02_f; 7; 4668"
4652,2024-11-18T12:18:38.841Z,"1731932124378-2311","L1_start","t_01_m"
4653,2024-11-18T12:18:38.961Z,"1731932124378-2311","L1_load","t_01_m"
4654,2024-11-18T12:18:38.962Z,"1731932124378-2311","L1_show_likert","t_01_m"
4655,2024-11-18T12:18:42.881Z,"1731932124378-2311","L1_response","t_01_m; 7; 3919"
4656,2024-11-18T12:18:42.881Z,"1731932124378-2311","L1_start","t_09_m"
4657,2024-11-18T12:18:43.025Z,"1731932124378-2311","L1_load","t_09_m"
4658,2024-11-18T12:18:43.025Z,"1731932124378-2311","L1_show_likert","t_09_m"
4659,2024-11-18T12:18:47.345Z,"1731932124378-2311","L1_response","t_09_m; 7; 4320"
4660,2024-11-18T12:18:47.345Z,"1731932124378-2311","L1_start","t_26_f"
4661,2024-11-18T12:18:47.474Z,"1731932124378-2311","L1_load","t_26_f"
4662,2024-11-18T12:18:47.474Z,"1731932124378-2311","L1_show_likert","t_26_f"
4663,2024-11-18T12:18:54.563Z,"1731932124378-2311","L1_response","t_26_f; 4; 7089"
4664,2024-11-18T12:18:54.563Z,"1731932124378-2311","L1_start","t_05_m"
4665,2024-11-18T12:18:54.708Z,"1731932124378-2311","L1_load","t_05_m"
4666,2024-11-18T12:18:54.708Z,"1731932124378-2311","L1_show_likert","t_05_m"
4667,2024-11-18T12:18:59.083Z,"1731932124378-2311","L1_response","t_05_m; 3; 4375"
4668,2024-11-18T12:18:59.083Z,"1731932124378-2311","L1_start","t_10_f"
4669,2024-11-18T12:18:59.210Z,"1731932124378-2311","L1_load","t_10_f"
4670,2024-11-18T12:18:59.210Z,"1731932124378-2311","L1_show_likert","t_10_f"
